policy_id,section_number,category,policy_type,requirement_level,natural_language,original_text,references,has_references
HIPAA-0001,164.314(a),Security Standards,Requirement,N/A,Entity is not required to obtain such satisfactory assur ances from a business associate that is a subcontractor.,entity is not required to obtain such satisfactory assur ances from a business associate that is a subcontractor.,,No
HIPAA-0002,164.314(a)(2),Security Standards,Requirement,N/A,"A business associate may permit a business associate that is a subcontractor to create, receive, maintain, or transmit electronic protected health information on its behalf only if the business associate obtains satisfactory assur ances, in accor dance with § 164.","A business associate may permit a business associate that is a subcontractor to create, receive, maintain, or transmit electronic protected health information on its behalf only if the business associate obtains satisfactory assur ances, in accor dance with § 164.",,No
HIPAA-0003,164.314(a)(a),Security Standards,Requirement,N/A,", that the subcontractor will appropriately safeguard the information.",", that the subcontractor will appropriately safeguard the information.",,No
HIPAA-0004,164.314(a)(3),Security Standards,Implementation Specification,N/A,S: Written contractor other arrangement (required).,Implementation specifications: Written contractor other arrangement (required).,,No
HIPAA-0005,164.314(a)(3),Security Standards,Requirement,N/A,Document the satisfactory assur ances required by paragraph.,Document the satisfactory assur ances required by paragraph.,,No
HIPAA-0006,164.314(a)(2),Security Standards,Requirement,N/A,Of this section thr ough a written contractor other arrangement with the business associate that meets the applicable requirements of§ 164.,of this section thr ough a written contractor other arrangement with the business associate that meets the applicable requirements of§ 164.,,No
HIPAA-0007,164.314(a)(1),Security Standards,Requirement,N/A,"Implement policies and procedures to limit physical access to its electronic information systems and the facility or facilities in which the y are housed, while ensuring that pr operly authoriz ed access is allowed.","Implement policies and procedures to limit physical access to its electronic information systems and the facility or facilities in which the y are housed, while ensuring that pr operly authoriz ed access is allowed.",,No
HIPAA-0008,164.314(a)(i),Security Standards,Requirement,N/A,Establish (and implement as needed) procedures that allow facility access in suppor tof r estoration of lost data under the disaster r ecovery plan and Emergency mode oper ations plan in the eventof an Emergency.,Establish (and implement as needed) procedures that allow facility access in suppor tof r estoration of lost data under the disaster r ecovery plan and Emergency mode oper ations plan in the eventof an Emergency.,,No
HIPAA-0009,164.314(a)(ii),Security Standards,Requirement,N/A,"Implement policies and procedures to safeguard the facility and the equipment therein from unauthoriz ed physical access, tampering, and theft.","Implement policies and procedures to safeguard the facility and the equipment therein from unauthoriz ed physical access, tampering, and theft.",,No
HIPAA-0010,164.314(a)(iii),Security Standards,Requirement,N/A,Access control and validation procedures (Addressable).,Access control and validation procedures (Addressable).,,No
HIPAA-0011,164.314(a)(iii),Security Standards,Requirement,N/A,"Implement procedures to control and validate a person's access to facilities based on their r ole or function, including visitor control, and control of access to software programs for testing and r evision.","Implement procedures to control and validate a person's access to facilities based on their r ole or function, including visitor control, and control of access to software programs for testing and r evision.",,No
HIPAA-0012,164.314(a)(iii),Security Standards,Requirement,N/A,45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,45 CFR Part 16 4 (up to date as of 9/17/2025) Security and Privacy45 CFR 16 4.,,No
HIPAA-0013,164.314(a)(iii),Security Standards,Requirement,N/A,"( enhanced display) page 11 of 89[68 FR 8376 , Feb.","( enhanced display) page 11 of 89[68 FR 8376 , Feb.",,No
HIPAA-0014,164.314(a)(iii),Security Standards,Requirement,N/A,"A covered entity or business associate must, in accor dance with § 164.","A covered entity or business associate must, in accor dance with § 164.",,No
HIPAA-0015,164.314(a)(iv),Security Standards,Requirement,N/A,"Implement policies and procedures to document r epairs and modifications to the physical components of a facility which are related to security (for example, har dware, walls, doors, and locks).","Implement policies and procedures to document r epairs and modifications to the physical components of a facility which are related to security (for example, har dware, walls, doors, and locks).",,No
HIPAA-0016,164.314(a)(b),Security Standards,Requirement,N/A,"Implement policies and procedures that specify the pr oper functions to be performed, the manner in which those functions are to be per formed, and the physical attributes of the surroundings of a specific workstation or class of workstation that can access electronic protected health information.","Implement policies and procedures that specify the pr oper functions to be performed, the manner in which those functions are to be per formed, and the physical attributes of the surroundings of a specific workstation or class of workstation that can access electronic protected health information.",,No
